"Ope Id","Institution Name","Institution City","Institution State","Institution Type And Control","Total Recipients","Total Awards","Year"
"1257300","WEST VIRGINIA UNIV-HOSP-RAD TECH","MORGANTOWN","WV","Private 2 Year",3,12138,"2013-14"
"1257400","RINGLING SCHOOL OF ART AND DESIGN","SARASOTA","FL","Private 4 Year",380,1603487,"2013-14"
"1258000","ST LOUIS CHRISTIAN COLLEGE","FLORISSANT","MO","Private 4 Year",155,613809,"2013-14"
"1258400","ILLINOIS INSTITUTE OF ART (THE)","CHICAGO","IL","Proprietary 4 Year",4234,15087300,"2013-14"
"1260600","EMPIRE BEAUTY SCHOOL","POTTSVILLE","PA","Proprietary 2 Year",1535,5767916,"2013-14"
"1276400","METROPLEX BEAUTY SCHOOL","MESQUITE","TX","Proprietary 2 Year",63,207359,"2013-14"
"458701","NORTHEAST IOWA COMMUNITY COLLEGE","PEOSTA","IA","Public 2 Year",1171,3730121,"2013-14"
"1265000","MARINELLO SCHOOL OF BEAUTY","BURBANK","CA","Proprietary 2 Year",553,2069600,"2013-14"
"1265200","ONONDAGA CORTLAND MADISON BOCES","LIVERPOOL","NY","Public 2 Year",492,2082450,"2013-14"
"1267000","BEL-REA INST OF ANIMAL TECH","DENVER","CO","Proprietary 2 Year",411,1531125,"2013-14"
"1267200","CAROUSEL BEAUTY COLLEGE","MIDDLETOWN","OH","Proprietary 2 Year",29,79412,"2013-14"
"1269300","PELLISSIPPI STATE COMMUNITY COLLEGE","KNOXVILLE","TN","Public 2 Year",4914,16665259,"2013-14"
"1274400","SOUTHSIDE REGIONAL MED CTR PROF SCHOOLS","PETERSBURG","VA","Proprietary 2 Year",68,207548,"2013-14"
"1275000","EDISON COMMUNITY COLLEGE","PIQUA","OH","Public 2 Year",1511,4655383,"2013-14"
"1278300","OSWEGO COUNTY BOCES ADULT CAREERS","MEXICO","NY","Public 2 Year",45,185682,"2013-14"
"1281300","JOHN WOOD COMMUNITY COLLEGE","QUINCY","IL","Public 2 Year",1197,3640606,"2013-14"
"1282300","PAT GOINS RUSTON BEAUTY SCHOOL","RUSTON","LA","Proprietary 2 Year",22,84676,"2013-14"
"1284800","MOLER-HOLLYWOOD BEAUTY COLLEGE","CINCINNATI","OH","Proprietary 2 Year",78,227197,"2013-14"
"1285000","INTERNATIONAL SALON AND SPA ACADEMY","COLORADO SPRINGS","CO","Proprietary 2 Year",233,734638,"2013-14"
"1286000","ARKANSAS NORTHEASTERN COLLEGE","BLYTHEVILLE","AR","Public 2 Year",736,2340514,"2013-14"
"1287000","SOUTHERN STATE COMMUNITY COLLEGE","HILLSBORO","OH","Public 2 Year",1733,5929211,"2013-14"
"1287200","NORTH-WEST COLLEGE","POMONA","CA","Proprietary 2 Year",1068,3953378,"2013-14"
"1287300","WYOTECH","LONG BEACH","CA","Proprietary 2 Year",3157,10273615,"2013-14"
"450200","CITY COLLEGE OF SAN FRANCISCO","SAN FRANCISCO","CA","Public 2 Year",7895,27507510,"2013-14"
"1287500","PICKENS TECHNICAL COLLEGE","AURORA","CO","Public 2 Year",324,852606,"2013-14"
"1287700","SANFORD-BROWN COLLEGE","NORWALK","CT","Proprietary 2 Year",50,169251,"2013-14"
"1287900","PAT GOINS BENTON ROAD BEAUTY SCHOOL","BOSSIER CITY","LA","Proprietary 2 Year",33,110891,"2013-14"
"1288000","CELEBRITY STYLIST BEAUTY SCHOOL","MONROE","LA","Proprietary 2 Year",34,129711,"2013-14"
"1288100","MONTACHUSETT REG VOC TECH SCH","FITCHBURG","MA","Public 2 Year",25,121975,"2013-14"
"1289100","ANTONELLI COLLEGE","CINCINNATI","OH","Proprietary 2 Year",1551,5795972,"2013-14"
"1289600","VIRGINIA MARTI COLLEGE OF ART AND DESIGN","LAKEWOOD","OH","Proprietary 2 Year",147,477897,"2013-14"
"1290400","MONONGALIA CNTY TECH ED CTR","MORGANTOWN","WV","Public 2 Year",54,213209,"2013-14"
"1290700","LAKE TAHOE COMMUNITY COLLEGE","SOUTH LAKE TAHOE","CA","Public 2 Year",723,2283648,"2013-14"
"1292900","SOUTH HILLS BEAUTY ACADEMY","PITTSBURGH","PA","Proprietary 2 Year",63,237991,"2013-14"
"1293000","CHARLES & SUE'S SCH OF HAIR DESIGN","BRYAN","TX","Proprietary 2 Year",59,227292,"2013-14"
"1293200","TINT SCHOOL OF MAKEUP & COSMETOLOGY","IRVING","TX","Proprietary 2 Year",111,347186,"2013-14"
"1294200","ROSEMEAD BEAUTY SCHOOL","ROSEMEAD","CA","Proprietary 2 Year",372,1359075,"2013-14"
"1294800","ROB ROY ACADEMY","FALL RIVER","MA","Proprietary 2 Year",81,245790,"2013-14"
"1295400","HUDSON COUNTY COMMUNITY COLLEGE","JERSEY CITY","NJ","Public 2 Year",7040,26459922,"2013-14"
"2189000","MID-EAST CAREER & TECH CENTERS-ADULT ED","ZANESVILLE","OH","Public 2 Year",197,743053,"2013-14"
"1297600","NEBRASKA CHRISTIAN COLLEGE","PAPILLION","NE","Private 4 Year",85,325230,"2013-14"
"2083600","TESST COLLEGE OF TECHNOLOGY","BELTSVILLE","MD","Proprietary 2 Year",453,1606816,"2013-14"
"1298400","PROFESSIONAL INSTITUTE OF BEAUTY","EL MONTE","CA","Proprietary 2 Year",159,597609,"2013-14"
"1298900","OCEANSIDE COLLEGE OF BEAUTY","OCEANSIDE","CA","Proprietary 2 Year",94,359846,"2013-14"
"2228300","LAKE TECHNICAL CENTER","EUSTIS","FL","Public 2 Year",335,1087985,"2013-14"
"2159600","BAPTIST COLLEGE OF FLORIDA (THE)","GRACEVILLE","FL","Private 4 Year",322,1273860,"2013-14"
"1300300","NEILSON BEAUTY COLLEGE","DALLAS","TX","Proprietary 2 Year",52,189515,"2013-14"
"1300500","OLYMPIAN UNIVERSITY OF COSMETOLOGY","ALAMOGORDO","NM","Proprietary 2 Year",1252,4145678,"2013-14"
"1300600","LA' JAMES INTERNATIONAL COLLEGE-CF","CEDAR FALLS","IA","Proprietary 2 Year",69,281281,"2013-14"
"1300700","NAZARENE BIBLE COLLEGE","COLORADO SPRINGS","CO","Private 4 Year",370,1054072,"2013-14"
"1301000","LANCASTER BEAUTY SCHOOL","LANCASTER","CA","Proprietary 2 Year",147,564638,"2013-14"
"1301600","OGLE SCHOOL HAIR SKIN NAILS","ARLINGTON","TX","Proprietary 2 Year",647,2324778,"2013-14"
"1302200","CITY UNIVERSITY OF SEATTLE","BELLEVUE","WA","Private 4 Year",325,817972,"2013-14"
"1302600","MACHZIKEI HADATH RABBINICAL COLLEGE","BROOKLYN","NY","Private 4 Year",122,666490,"2013-14"
"1302700","YESHIVATH VIZNITZ","MONSEY","NY","Private 4 Year",423,2367685,"2013-14"
"1302900","BORICUA COLLEGE","NEW YORK","NY","Private 4 Year",1187,5089814,"2013-14"
"1303900","SOUTH UNIVERSITY","SAVANNAH","GA","Proprietary 4 Year",17484,55668636,"2013-14"
"1307400","AMERICAN BEAUTY COLLEGE","WEST COVINA","CA","Proprietary 2 Year",109,386918,"2013-14"
"1308700","CAPRI BEAUTY COLLEGE","CHICAGO","IL","Proprietary 2 Year",22,87616,"2013-14"
"1308800","CAPRI OAK FOREST COLLEGE OF BEAUTY","OAK FOREST","IL","Proprietary 2 Year",135,532565,"2013-14"
"2331403","NORTHWEST HAIR ACADEMY - BELLINGHAM","BELLINGHAM","WA","Proprietary 2 Year",18,67803,"2013-14"
"1309500","SALON SUCCESS ACADEMY","CORONA","CA","Proprietary 2 Year",379,1497472,"2013-14"
"1321400","ROXBOROUGH MEM HOSP SCH OF NURSING","PHILADELPHIA","PA","Proprietary 2 Year",65,279228,"2013-14"
"2092300","HOHOKUS SCHOOL - RETS/NUTLEY","NUTLEY","NJ","Proprietary 2 Year",502,1640014,"2013-14"
"1300800","PHAGANS TIGARD BEAUTY SCHOOL","TIGARD","OR","Proprietary 2 Year",30,132338,"2013-14"
"1313200","INTERNATIONAL CLG OF BROADCASTING","DAYTON","OH","Proprietary 2 Year",125,546533,"2013-14"
"1313400","YESHIVATH BETH MOSHE","SCRANTON","PA","Private 4 Year",24,103280,"2013-14"
"1318900","CONTINENTAL ACADEMIE OF HAIR DESIGN","HUDSON","NH","Proprietary 2 Year",42,166414,"2013-14"
"1320800","BAPTIST BIBLE COLLEGE","SPRINGFIELD","MO","Private 4 Year",202,818999,"2013-14"
"2087000","OZARKA COLLEGE","MELBOURNE","AR","Public 2 Year",1243,4571305,"2013-14"
"1321800","M J MURPHY BTY CLG MT PLEASANT","MOUNT PLEASANT","MI","Proprietary 2 Year",82,305376,"2013-14"
"1323100","UNIVERSITY OF HOUSTON-VICTORIA","VICTORIA","TX","Public 4 Year",1437,5450713,"2013-14"
"1323200","ACADEMY OF HAIR DESIGN","LAS VEGAS","NV","Proprietary 2 Year",151,558228,"2013-14"
"1323400","LORENZO WALKER INST OF TECHNOLOGY","NAPLES","FL","Public 2 Year",215,766641,"2013-14"
"542600","SIKESTON CAREER AND TECHNOLOGY CTR","SIKESTON","MO","Public 2 Year",41,186191,"2013-14"
"1095200","PNW BOCES LPN PROGRAM","YORKTOWN HEIGHTS","NY","Public 2 Year",26,96013,"2013-14"
"1326300","SOUTH HILLS SCHOOL OF BUSINESS & TECHNOL","STATE COLLEGE","PA","Proprietary 2 Year",559,1977828,"2013-14"
"2086400","MARINELLO SCHOOL OF BEAUTY","SANTA CLARE","CA","Proprietary 2 Year",641,2182394,"2013-14"
"2050300","ACADEMY COLLEGE","BLOOMINGTON","MN","Proprietary 4 Year",89,273274,"2013-14"
"2519300","OHIO STATE SCH COSMETOLOGY","CANAL WINCHESTER","OH","Proprietary 2 Year",153,577926,"2013-14"
"1157200","COLORADO SCHOOL OF TRADES","LAKEWOOD","CO","Proprietary 2 Year",158,608994,"2013-14"
"730000","ELI WHITNEY TECHNICAL HIGH SCHOOL","HAMDEN","CT","Public 2 Year",37,156061,"2013-14"
"890200","COLUMBIA CENTRO UNIVERSITARIO","CAGUAS","PR","Proprietary 4 Year",2447,10275334,"2013-14"
"1170300","PENTA COUNTY JOINT VOCATIONAL SCH","PERRYSBURG","OH","Public 2 Year",39,144478,"2013-14"
"2106700","TRINITY LUTHERAN COLLEGE","EVERETT","WA","Private 4 Year",100,444705,"2013-14"
"2056100","FOUR RIVERS CAREER CENTER","WASHINGTON","MO","Public 2 Year",26,120432,"2013-14"
"834300","AUTRY TECHNOLOGY CENTER","ENID","OK","Public 2 Year",117,343418,"2013-14"
"1155300","WM R MOORE COLLEGE OF TECHNOLOGY","MEMPHIS","TN","Private 2 Year",66,261321,"2013-14"
"2063500","COASTLINE COMMUNITY COLLEGE","FOUNTAIN VALLEY","CA","Public 2 Year",2936,9087693,"2013-14"
"632200","BROCKTON HOSPITAL SCH OF NURSING","BROCKTON","MA","Private 2 Year",138,496935,"2013-14"
"1239300","THOMAS JEFF UNIV-CLG ALLIED HEALTH","PHILADELPHIA","PA","Private 4 Year",186,812348,"2013-14"
"2230900","FREDRICK & CHARLES BEAUTY COLLEGE","EUREKA","CA","Proprietary 2 Year",78,303969,"2013-14"
"2211600","PORTSMOUTH BTY SCH OF HAIR DESIGN","PORTSMOUTH","NH","Proprietary 2 Year",28,105873,"2013-14"
"2052000","KAPLAN COLLEGE","DAYTON","OH","Proprietary 2 Year",454,1501676,"2013-14"
"2124500","FRANKLIN TECHNOLOGY CENTER","JOPLIN","MO","Public 2 Year",123,501212,"2013-14"
"2059800","PARIS BEAUTY COLLEGE","CONCORD","CA","Proprietary 2 Year",74,260730,"2013-14"
"2061600","WAYNES COLLEGE OF BEAUTY","SALINAS","CA","Proprietary 2 Year",36,139258,"2013-14"
"576100","L. E. FLETCHER TECHNICAL COMMUNITY COLLE","HOUMA","LA","Public 2 Year",1079,4129705,"2013-14"
"704400","CROWLEYS RIDGE TECHNICAL INSTITUTE","FORREST CITY","AR","Public 2 Year",272,1046053,"2013-14"
"2054300","TRUMBULL BUSINESS COLLEGE","WARREN","OH","Proprietary 2 Year",300,1100455,"2013-14"
"2165100","EDP COLLEGE OF PUERTO RICO","HATO REY","PR","Private 4 Year",2524,10337539,"2013-14"
"2061800","ROMAN ACADEMY OF BEAUTY CULTURE","HAWTHORNE","NJ","Proprietary 2 Year",44,137313,"2013-14"
"2097300","HASTINGS BEAUTY SCHOOL","HASTINGS","MN","Proprietary 4 Year",43,135416,"2013-14"
"2054900","MARINELLO SCHOOL OF BEAUTY","LAKE FOREST","CA","Proprietary 2 Year",721,2685298,"2013-14"
"2055200","HARRINGTON COLLEGE OF DESIGN","CHICAGO","IL","Proprietary 4 Year",235,852174,"2013-14"
"2055500","DELTA SCH OF BUSINESS & TECHNOLOGY","LAKE CHARLES","LA","Proprietary 2 Year",260,934579,"2013-14"
"2060300","MICHIGAN INSTITUTE OF AERONAUTICS","CANTON","MI","Proprietary 2 Year",760,2828349,"2013-14"
"2069000","NEW YORK SCHOOL OF INTERIOR DESIGN","NEW YORK","NY","Private 4 Year",77,267974,"2013-14"
"2056800","DAYMAR COLLEGE","CHILLICOTHE","OH","Proprietary 2 Year",425,1492668,"2013-14"
"2053700","EASTWICK COLLEGE","RAMSEY","NJ","Proprietary 2 Year",831,2540515,"2013-14"
"2060900","BROWN CLG OF COURT REPORTING & M.T.","ATLANTA","GA","Proprietary 2 Year",192,578987,"2013-14"
"2242400","HENRICO CTY ST MARYS HOSP PRAC NRSG","HIGHLAND SPRINGS","VA","Public 2 Year",28,81193,"2013-14"
"2125300","NASHVILLE CLG OF MEDICAL CAREERS","MADISON","TN","Proprietary 2 Year",162,634389,"2013-14"
"720900","REDONDO BEACH BEAUTY COLLEGE","REDONDO BEACH","CA","Proprietary 2 Year",13,35698,"2013-14"
"2128200","VICTOR VALLEY BEAUTY COLLEGE, INC","VICTORVILLE","CA","Proprietary 2 Year",122,462161,"2013-14"
"2061000","VENUS BEAUTY ACADEMY","SHARON HILL","PA","Proprietary 2 Year",90,305156,"2013-14"
"1036500","CHARLES R DREW UNIV OF MED & SCI","LOS ANGELES","CA","Private 4 Year",47,204684,"2013-14"
"2057400","ROANE-JACKSON TECHNICAL CENTER","LEROY","WV","Public 2 Year",42,150913,"2013-14"
"2065300","PRESCOTT COLLEGE","PRESCOTT","AZ","Private 4 Year",308,1214737,"2013-14"
"842500","DAYMAR COLLEGE","PADUCAH","KY","Proprietary 4 Year",131,477034,"2013-14"
"2056500","MITCHELL'S HAIR STYLING ACADEMY","WILSON","NC","Proprietary 2 Year",108,418234,"2013-14"
"2248200","MILAN INSTITUTE OF COSMETOLOGY","AMARILLO","TX","Proprietary 2 Year",2265,8485709,"2013-14"
"2068000","UNITED TECHNICAL CENTER","CLARKSBURG","WV","Public 2 Year",17,72131,"2013-14"
"2276000","FRANKLIN BEAUTY SCHOOL #2","HOUSTON","TX","Proprietary 2 Year",32,97141,"2013-14"
"543000","POPLAR BLUFF TECHNICAL CAREER CNTR","POPLAR BLUFF","MO","Public 2 Year",50,245112,"2013-14"
"560700","SARASOTA COUNTY TECHNICAL INSTITUTE","SARASOTA","FL","Public 2 Year",211,715058,"2013-14"
"2058600","CONLEE'S COLLEGE OF COSMETOLOGY","KERRVILLE","TX","Proprietary 2 Year",29,106860,"2013-14"
"1116500","UINTAH BASIN APPLIED TECHNOLOGY CLG","ROOSEVELT","UT","Public 2 Year",43,168783,"2013-14"
"1274300","BENJAMIN FRANKLIN CAREER&TECH","DUNBAR","WV","Public 2 Year",83,330449,"2013-14"
"527300","GATEWAY COMMUNITY & TECHNOLOGY COLL","COVINGTON","KY","Public 2 Year",2767,8837865,"2013-14"
"2063000","MONTSERRAT COLLEGE OF ART","BEVERLY","MA","Private 4 Year",160,689617,"2013-14"
"1173500","PIKE/LINCOLN TECHNICAL CENTER","EOLIA","MO","Public 2 Year",28,121375,"2013-14"
"2606300","PAUL MITCHELL THE SCHOOL WICHITA","WICHITA","KS","Proprietary 2 Year",138,506080,"2013-14"
"887300","PAUL MITCHELL THE SCHOOL","DANBURY","CT","Proprietary 2 Year",71,239665,"2013-14"
"1324000","LYTLE'S REDWOOD EMPIRE BEAUTY CLG","SANTA ROSA","CA","Proprietary 2 Year",94,326903,"2013-14"
"2508900","TALMUDIC COLLEGE OF FLORIDA","MIAMI BEACH","FL","Private 4 Year",12,56598,"2013-14"
"2073200","TELSHE YESHIVA-CHICAGO","CHICAGO","IL","Private 4 Year",31,143351,"2013-14"
"293500","LAUREL UNIVERSITY","HIGH POINT","NC","Private 4 Year",106,365654,"2013-14"
"1249600","TONI & GUY HAIRDRESSING ACADEMY","SHORELINE","WA","Proprietary 2 Year",45,191247,"2013-14"
"2065700","CALIFORNIA BEAUTY COLLEGE","MODESTO","CA","Proprietary 2 Year",78,315782,"2013-14"
"2064300","SIERRA COLLEGE OF BEAUTY","MERCED","CA","Proprietary 2 Year",138,545772,"2013-14"
"2073900","WOR-WIC COMMUNITY COLLEGE","SALISBURY","MD","Public 2 Year",2148,6028293,"2013-14"
"2205000","COLLEGE OF WILMINGTON","WILMINGTON","NC","Proprietary 2 Year",225,759804,"2013-14"
"2108800","WARDS CORNER BEAUTY ACADEMY","NORFOLK","VA","Proprietary 2 Year",180,696226,"2013-14"
"2270400","SOUTHEASTERN BIBLE COLLEGE","BIRIMINGHAM","AL","Private 4 Year",118,474567,"2013-14"
"2074600","SOUTH ARKANSAS COMMUNITY COLLEGE","EL DORADO","AR","Public 2 Year",1119,4126162,"2013-14"
"744700","DEL-MAR-VA BEAUTY ACADEMY","SALISBURY","MD","Proprietary 2 Year",72,293838,"2013-14"
"2068200","COX HEALTH - COX COLLEGE","SPRINGFIELD","MO","Private 4 Year",453,1534248,"2013-14"
"2126500","ENID BEAUTY COLLEGE","ENID","OK","Proprietary 2 Year",57,204757,"2013-14"
"2071200","KAPLAN COLLEGE","PHOENIX","AZ","Proprietary 2 Year",63,279541,"2013-14"
"2070500","CONCORDIA UNIVERSITY","IRVINE","CA","Private 4 Year",611,2366032,"2013-14"
"2111600","DANVILLE REGIONAL MEDICAL CENTER SCHOOL","DANVILLE","VA","Proprietary 2 Year",10,38536,"2013-14"
"535100","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY","MORRISTOWN","TN","Public 2 Year",409,1314408,"2013-14"
"528200","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-","HARTSVILLE","TN","Public 2 Year",251,692787,"2013-14"
"1032600","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY","HARRIMAN","TN","Public 2 Year",229,699618,"2013-14"
"535400","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-","JACKSON","TN","Public 2 Year",400,1339654,"2013-14"
"1036300","WESTERN NEVADA COLLEGE","CARSON CITY","NV","Public 4 Year",2090,6703863,"2013-14"
"752600","WASHINGTON HOLMES TECHNICAL CENTER","CHIPLEY","FL","Public 2 Year",311,1082617,"2013-14"
"2074900","CHRIS' BEAUTY COLLEGE","GULFPORT","MS","Proprietary 2 Year",85,294182,"2013-14"
"2066100","OHIO STATE COLLEGE/BARBER STYLING","COLUMBUS","OH","Proprietary 2 Year",174,712812,"2013-14"
"2201900","PHAGANS' SCHOOL OF HAIR DESIGN","PORTLAND","OR","Proprietary 2 Year",173,699077,"2013-14"
"2125000","CAREER ACADEMY OF BEAUTY","WEST GARDEN GROVE","CA","Proprietary 2 Year",158,525836,"2013-14"
"2115300","PINELLAS TECHNICAL EDUCATION CENTERS - S","ST PETERSBURG","FL","Public 2 Year",704,2372260,"2013-14"
"961200","APEX SCHOOL OF BEAUTY CULTURE, INC","ANDERSON","IN","Proprietary 2 Year",9,31649,"2013-14"
"548805","LA TECH COLLEGE-AVOYELLES CAMPUS","COTTONPORT","LA","Public 2 Year",108,376243,"2013-14"
"2325700","LABARON HAIRDRESSING ACADEMY","NEW BEDFORD","MA","Proprietary 2 Year",41,116655,"2013-14"
"2203300","GENE JUAREZ BEAUTY SCHOOLS","MOUNTLAKE TERRACE","WA","Proprietary 2 Year",450,1764796,"2013-14"
"265000","UNIVERSITY OF THE SOUTHWEST","HOBBS","NM","Private 4 Year",240,878739,"2013-14"
"2275300","CABELL COUNTY CAREER TECHNOLOGY CTR","HUNTINGTON","WV","Public 2 Year",79,251243,"2013-14"
"2237900","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-","PARIS","TN","Public 2 Year",381,1141142,"2013-14"
"2069300","VATTEROTT COLLEGE","QUINCY","IL","Proprietary 2 Year",790,3094852,"2013-14"
"2117400","BECK AREA CAREER CENTER","RED BUD","IL","Public 2 Year",90,411849,"2013-14"
"548832","LOUISIANA TECH COLG-SHELBY JACKSON","FERRIDAY","LA","Public 2 Year",145,628810,"2013-14"
"548000","LOUISIANA TECHNICAL COLLEGE, HUEY P. LON","WINNFIELD","LA","Public 2 Year",163,615522,"2013-14"
"2074000","BRANFORD HALL CAREER INSTITUTE","BRANFORD","CT","Proprietary 2 Year",3977,12270446,"2013-14"
"778200","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY","DICKSON","TN","Public 2 Year",448,1459678,"2013-14"
"495100","UNIV OF TEXAS HEALTH SCIENCE CENTER","HOUSTON","TX","Public 4 Year",243,976872,"2013-14"
"2068300","DOUGLAS SCHOOL OF BUSINESS","MONESSEN","PA","Proprietary 2 Year",241,1001135,"2013-14"
"2078900","ART INSTITUTE OF COLORADO (THE)","DENVER","CO","Proprietary 4 Year",1308,4299478,"2013-14"
"535900","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY","NASHVILLE","TN","Public 2 Year",694,1918539,"2013-14"
"1014000","MINERAL COUNTY VOCATIONAL TECH CTR","KEYSER","WV","Public 2 Year",27,89775,"2013-14"
"765600","AMERICAN COLLEGE OF HARISTYLING -CR","CEDAR RAPIDS","IA","Proprietary 2 Year",14,57209,"2013-14"
"495200","UNIV OF TEXAS MEDICAL BRANCH","GALVESTON","TX","Public 4 Year",232,905046,"2013-14"
"2239100","CENTRAL TEXAS BEAUTY COLLEGE #2","ROUND ROCK","TX","Proprietary 2 Year",235,796460,"2013-14"
"902200","ASSOCIATED TECHNICAL COLLEGE","LOS ANGELES","CA","Proprietary 2 Year",467,2125007,"2013-14"
"764900","ROCKY MOUNTAIN COLG OF ART & DESIGN","DENVER","CO","Proprietary 4 Year",484,1680360,"2013-14"
"558500","LIVELY TECHNICAL CENTER","TALLAHASSEE","FL","Public 2 Year",652,2146239,"2013-14"
"2164300","DON ROBERTS SCHOOL OF HAIR DESIGN","SCHERERVILLE","IN","Proprietary 2 Year",48,169273,"2013-14"
"1043400","RENTON TECHNICAL COLLEGE","RENTON","WA","Public 2 Year",1123,3684648,"2013-14"
"2106100","COLLEGE OF COSMETOLOGY","KLAMATH FALLS","OR","Proprietary 2 Year",98,389940,"2013-14"
"2089600","CONCORDE CAREER INSTITUTE","JACKSONVILLE","FL","Proprietary 2 Year",1187,4565818,"2013-14"
"2269400","EASTERN HILLS ACAD OF HAIR DESIGN","CINCINNATI","OH","Proprietary 2 Year",47,137916,"2013-14"
"2269500","WESTERN HILLS SCHOOL OF BEAUTY & HAIR DE","CINCINNATI","OH","Proprietary 2 Year",189,588498,"2013-14"
"1298500","HAIR CALIFORNIA BEAUTY ACADEMY","ORANGE","CA","Proprietary 2 Year",1,5645,"2013-14"
"356100","CEDAR VALLEY COLLEGE","LANCASTER","TX","Public 2 Year",2175,7440923,"2013-14"
"2077400","NORTH LAKE COLLEGE","IRVING","TX","Public 2 Year",2813,9152700,"2013-14"
"2073500","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE","BATESVILLE","AR","Public 2 Year",946,3416227,"2013-14"
"2073700","NORTHWEST TECHNICAL INSTITUTE","SPRINGDALE","AR","Public 2 Year",166,514941,"2013-14"
"2258600","ALAMEDA BEAUTY COLLEGE","ALAMEDA","CA","Proprietary 2 Year",202,730204,"2013-14"
"2156200","DELTA - MONTROSE TECHNICAL COLLEGE","DELTA","CO","Public 2 Year",107,374999,"2013-14"
"2116900","UPPER VALLEY JVS","PIQUA","OH","Public 2 Year",91,320738,"2013-14"
"2073400","CARVER CAREER TECH ED CTR","CHARLESTON","WV","Public 2 Year",136,591100,"2013-14"
"2178700","CITRUS HEIGHTS BEAUTY COLLEGE","CITRUS HEIGHTS","CA","Proprietary 2 Year",81,318731,"2013-14"
"2073300","GALLIA-JACKSON-VINTON SCH ADULT ED","RIO GRANDE","OH","Public 2 Year",97,347078,"2013-14"
"2075800","SOUTHERN CA INST OF ARCHITECTURE","LOS ANGELES","CA","Private 4 Year",106,524475,"2013-14"
"2074400","IL EASTERN COMM COLGS-FRONTIER","FAIRFIELD","IL","Public 2 Year",249,899692,"2013-14"
"2075700","BRIARCLIFFE COLLEGE","BETHPAGE","NY","Proprietary 4 Year",1846,7140968,"2013-14"
"2280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","ELIZABETH CITY","NC","Private 4 Year",139,529686,"2013-14"
"656500","READING HOSPITAL SCHOOL OF HEALTH SCIENC","WEST READING","PA","Private 2 Year",172,580419,"2013-14"
"2260800","HUERTAS COLLEGE","CAGUAS","PR","Proprietary 4 Year",1721,7180547,"2013-14"
"661200","COVENANT SCH OF NSG & ALLIED HEALTH","LUBBOCK","TX","Private 2 Year",109,434845,"2013-14"
"2140000","RIVERSIDE SCHOOL OF HEALTH CAREERS","NEWPORT NEWS","VA","Private 2 Year",180,613022,"2013-14"
"2228100","MAC DANIEL'S BEAUTY SCHOOL","CHICAGO","IL","Proprietary 2 Year",46,173038,"2013-14"
"2056400","CAPRI COSMETOLOGY LEARNING CENTER","NANUET","NY","Proprietary 2 Year",173,608056,"2013-14"
"535600","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY","HOHENWALD","TN","Public 2 Year",293,982061,"2013-14"
"1168900","REFRIGERATION SCHOOL","PHOENIX","AZ","Proprietary 2 Year",682,2658368,"2013-14"
"884400","CALIFORNIA CHRISTIAN COLLEGE","FRESNO","CA","Private 4 Year",16,58717,"2013-14"
"2169900","ASSABET VALLEY REGIONAL VOC SCHOOL","MARLBOROUGH","MA","Public 2 Year",28,123507,"2013-14"
"2203400","NEVADA REGIONAL TECHNICAL CENTER","NEVADA","MO","Public 2 Year",16,76689,"2013-14"
"1016100","LORAINE'S ACADEMY, INC","ST PETERSBURG","FL","Proprietary 2 Year",151,466879,"2013-14"
"552600","SOUTH CENTRAL LOUISIANA TECHNICAL COLG","MORGAN CITY","LA","Public 2 Year",266,878387,"2013-14"
"2079400","EMPIRE BEAUTY SCHOOL","FRAMINGHAM","MA","Proprietary 2 Year",2073,7303600,"2013-14"
"2146400","INSTITUTE OF AMERICAN INDIAN ARTS","SANTA FE","NM","Public 4 Year",170,722859,"2013-14"
"2136800","AMERICAN COMMERCIAL COLLEGE","SAN ANGELO","TX","Proprietary 2 Year",90,289276,"2013-14"
"2074100","CAPITOL CITY TRADE & TECHNICAL SCH","AUSTIN","TX","Proprietary 2 Year",249,813681,"2013-14"
"2075300","PULASKI TECHNICAL COLLEGE","NORTH LITTLE ROCK","AR","Public 2 Year",7933,28412105,"2013-14"
"2074800","LIFE UNIVERSITY","MARIETTA","GA","Private 4 Year",493,1925113,"2013-14"
"1182000","SAN DIEGO MIRAMAR COLLEGE","SAN DIEGO","CA","Public 2 Year",2783,9805861,"2013-14"
"2079700","COLLEGE OF HAIR DESIGN","LINCOLN","NE","Proprietary 2 Year",222,906628,"2013-14"
"864500","EMPIRE BEAUTY SCHOOL","LACONIA","NH","Proprietary 2 Year",199,663551,"2013-14"
"2077100","MILWAUKEE INST OF ART & DESIGN","MILWAUKEE","WI","Private 4 Year",311,1309104,"2013-14"
"457900","INTERNATIONAL BUSINESS COLLEGE","FORT WAYNE","IN","Proprietary 4 Year",613,2503628,"2013-14"
"1027900","HICKEY COLLEGE","ST LOUIS","MO","Proprietary 4 Year",376,1446250,"2013-14"
